iter	Passed	Remaining
826	33707	7051
827	33750	7010
828	33793	6970
829	33833	6929
830	33868	6887
831	33907	6846
832	33946	6805
833	33984	6764
834	34026	6723
835	34064	6682
836	34092	6639
837	34135	6598
838	34176	6558
839	34214	6517
840	34256	6476
841	34288	6434
842	34330	6393
843	34353	6349
844	34391	6308
845	34424	6266
846	34464	6225
847	34503	6184
848	34542	6143
849	34586	6103
850	34615	6060
851	34648	6018
852	34690	5978
853	34731	5937
854	34752	5893
855	34783	5851
856	34811	5808
857	34851	5768
858	34892	5727
859	34935	5687
860	34986	5648
861	35026	5607
862	35055	5564
863	35093	5524
864	35127	5482
865	35171	5442
866	35214	5402
867	35258	5361
868	35294	5320
869	35322	5278
870	35358	5236
871	35399	5196
872	35427	5153
873	35465	5112
874	35505	5072
875	35529	5029
876	35552	4986
877	35580	4943
878	35624	4903
879	35654	4861
880	35691	4820
881	35715	4778
882	35756	4737
883	35798	4697
884	35820	4654
885	35848	4612
886	35880	4571
887	35902	4528
888	35925	4485
889	35968	4445
890	35995	4403
891	36031	4362
892	36074	4322
893	36113	4281
894	36139	4239
895	36161	4197
896	36184	4154
897	36210	4113
898	36234	4070
899	36258	4028
900	36297	3988
901	36326	3946
902	36349	3904
903	36393	3864
904	36416	3822
905	36450	3781
906	36476	3740
907	36501	3698
908	36537	3657
909	36573	3617
910	36598	3575
911	36640	3535
912	36667	3494
913	36693	3452
914	36727	3411
915	36766	3371
916	36805	3331
917	36840	3290
918	36867	3249
919	36907	3209
920	36944	3168
921	36983	3128
922	37024	3088
923	37058	3048
924	37089	3007
925	37127	2966
926	37159	2926
927	37203	2886
928	37240	2846
929	37276	2805
930	37306	2764
931	37333	2723
932	37365	2683
933	37410	2643
934	37448	2603
935	37489	2563
936	37520	2522
937	37543	2481
938	37586	2441
939	37623	2401
940	37656	2361
941	37698	2321
942	37736	2280
943	37763	2240
944	37804	2200
945	37829	2159
946	37870	2119
947	37919	2079
948	37959	2039
949	37998	1999
950	38036	1959
951	38077	1919
952	38103	1879
953	38138	1838
954	38177	1798
955	38222	1759
956	38260	1719
957	38293	1678
958	38316	1638
959	38354	1598
960	38387	1557
961	38423	1517
962	38458	1477
963	38495	1437
964	38522	1397
965	38555	1357
966	38577	1316
967	38616	1276
968	38671	1237
969	38707	1197
970	38730	1156
971	38765	1116
972	38791	1076
973	38825	1036
974	38857	996
975	38896	956
976	38922	916
977	38951	876
978	38986	836
979	39014	796
980	39048	756
981	39078	716
982	39124	676
983	39149	636
984	39172	596
985	39200	556
986	39224	516
987	39249	476
988	39279	436
989	39308	397
990	39331	357
991	39365	317
992	39388	277
993	39411	237
994	39451	198
995	39487	158
996	39510	118
997	39545	79
998	39581	39
999	39607	0
